Nitrogen (mg/kg),Fosfor (mg/kg),Kalium (mg/kg),pH,Kelembapan (%),Suhu (°C),EC (dS/m),Salinitas (ppt),TDS (ppm),Kondisi Tanah,Rekomendasi Tindakan
1025,1546,1751,7.22,30.03,16.9,5.16,119.17,1399.37,Cukup,"tambahkan pupuk dikit, tambahkan air"
788,1106,1581,6.27,68.94,23.96,9.85,380.88,5191.02,Cukup,"tambahkan pupuk sedang, cukup air"
730,885,676,6.28,67.01,15.31,2.39,750.61,3149.47,Cukup,"tambahkan pupuk sedang, cukup air"
1285,556,1765,7.04,35.54,35.87,7.24,672.31,2993.31,Cukup,"tambahkan pupuk dikit, tambahkan air"
1550,1963,788,6.25,46.83,33.61,4.38,234.53,4817.17,Cukup,"tambahkan pupuk dikit, tambahkan air"
480,444,889,6.63,59.76,34.35,6.54,388.39,1012.27,Cukup,"tambahkan pupuk banyak, cukup air"
426,834,1091,7.64,59.34,26.23,2.09,300.27,5353.71,Cukup,"tambahkan pupuk banyak, cukup air"
838,653,262,5.91,68.72,21.25,4.73,632.7,4189.75,Cukup,"tambahkan pupuk sedang, cukup air"
1281,1120,1076,5.85,36.31,36.61,9.8,377.34,5313.94,Cukup,"tambahkan pupuk dikit, tambahkan air"
1120,1639,1455,4.51,49.35,39.33,1.99,343.6,5969.63,Cukup,"tambahkan pupuk dikit, tambahkan air"
676,887,1787,6.65,34.38,19.16,6.38,247.01,3349.02,Cukup,"tambahkan pupuk sedang, tambahkan air"
1599,1919,449,4.6,47.53,29.6,5.78,438.58,1012.94,Cukup,"tambahkan pupuk dikit, tambahkan air"
915,1035,1871,6.26,30.68,22.46,5.67,235.73,1415.88,Cukup,"tambahkan pupuk dikit, tambahkan air"
442,804,769,7.31,70.42,20.04,6.17,964.44,2279.9,Cukup,"tambahkan pupuk banyak, cukup air"
566,1227,1591,6.42,53.72,37.03,5.05,196.78,1069.54,Cukup,"tambahkan pupuk sedang, cukup air"
1135,346,525,5.44,68.24,31.14,0.22,917.64,4984.38,Cukup,"tambahkan pupuk dikit, cukup air"
1037,911,426,7.25,32.7,21.49,9.01,457.05,2132.77,Cukup,"tambahkan pupuk dikit, tambahkan air"
1475,1146,1229,5.44,40.24,24.3,8.28,408.97,5867.37,Cukup,"tambahkan pupuk dikit, tambahkan air"
1105,1052,1941,7.07,41.67,44.0,1.78,269.75,4364.25,Cukup,"tambahkan pupuk dikit, tambahkan air"
1545,914,354,6.64,47.4,40.46,4.16,653.97,1453.87,Cukup,"tambahkan pupuk dikit, tambahkan air"
575,1648,457,5.09,66.13,41.4,7.72,701.25,3118.23,Cukup,"tambahkan pupuk sedang, cukup air"
910,243,543,7.67,47.4,28.8,9.8,494.19,3067.86,Cukup,"tambahkan pupuk dikit, tambahkan air"
542,829,212,5.2,39.21,33.71,9.51,102.92,3208.81,Cukup,"tambahkan pupuk sedang, tambahkan air"
439,1818,1153,7.96,32.92,26.3,9.0,922.58,3446.3,Cukup,"tambahkan pupuk banyak, tambahkan air"
338,962,623,4.53,33.58,17.33,1.63,981.31,671.45,Cukup,"tambahkan pupuk banyak, tambahkan air"
1345,1877,788,5.42,64.2,27.03,9.15,459.49,4274.66,Cukup,"tambahkan pupuk dikit, cukup air"
619,1316,1090,5.2,50.02,32.82,8.79,632.98,3179.55,Cukup,"tambahkan pupuk sedang, cukup air"
503,564,1973,4.55,62.68,23.61,3.8,477.78,4850.31,Cukup,"tambahkan pupuk sedang, cukup air"
314,1907,145,7.06,60.7,40.44,3.98,355.79,4984.42,Cukup,"tambahkan pupuk banyak, cukup air"
542,474,1294,6.93,36.09,19.53,4.63,123.45,1767.94,Cukup,"tambahkan pupuk sedang, tambahkan air"
1474,776,1253,7.27,36.43,26.01,6.58,483.26,766.33,Cukup,"tambahkan pupuk dikit, tambahkan air"
206,791,856,5.4,63.99,18.75,2.65,827.47,4367.79,Cukup,"tambahkan pupuk banyak, cukup air"
930,728,1476,6.06,62.46,27.14,0.28,66.18,5877.7,Cukup,"tambahkan pupuk dikit, cukup air"
378,1389,1326,6.81,47.01,16.19,1.46,603.0,2956.62,Cukup,"tambahkan pupuk banyak, tambahkan air"
1368,1501,1349,6.04,33.48,23.18,4.43,886.73,1927.87,Cukup,"tambahkan pupuk dikit, tambahkan air"
615,1673,1203,6.94,30.54,27.02,2.86,256.67,1361.7,Cukup,"tambahkan pupuk sedang, tambahkan air"
865,655,1433,6.72,42.97,29.34,7.66,224.09,2080.95,Cukup,"tambahkan pupuk sedang, tambahkan air"
1344,962,1158,4.9,30.42,31.31,1.11,783.66,2303.56,Cukup,"tambahkan pupuk dikit, tambahkan air"
1347,173,663,7.23,40.35,23.25,9.18,292.33,2831.31,Cukup,"tambahkan pupuk dikit, tambahkan air"
349,537,260,7.02,48.88,30.69,8.96,232.39,4104.74,Cukup,"tambahkan pupuk banyak, tambahkan air"
596,980,1719,6.8,35.46,30.27,9.09,409.09,2002.4,Cukup,"tambahkan pupuk sedang, tambahkan air"
580,325,939,5.04,34.69,24.49,7.41,422.88,780.37,Cukup,"tambahkan pupuk sedang, tambahkan air"
1038,1942,1558,5.44,70.34,39.91,1.11,880.4,2553.03,Cukup,"tambahkan pupuk dikit, cukup air"
200,407,637,5.88,56.35,31.37,4.41,637.52,5205.96,Cukup,"tambahkan pupuk banyak, cukup air"
443,1065,324,5.48,72.05,24.97,1.36,435.66,3240.93,Cukup,"tambahkan pupuk banyak, cukup air"
1474,447,1569,5.3,45.56,43.42,9.88,557.67,5806.31,Cukup,"tambahkan pupuk dikit, tambahkan air"
1078,575,1440,7.32,60.47,40.35,3.36,956.27,3269.92,Cukup,"tambahkan pupuk dikit, cukup air"
1522,1438,1789,6.73,39.21,44.48,5.87,157.55,2017.44,Cukup,"tambahkan pupuk dikit, tambahkan air"
959,624,1928,6.48,57.83,35.77,7.8,247.33,1563.23,Cukup,"tambahkan pupuk dikit, cukup air"
1153,1548,1537,5.29,35.83,26.35,9.21,964.4,4319.88,Cukup,"tambahkan pupuk dikit, tambahkan air"
1520,623,194,7.71,30.09,23.43,7.57,959.46,3450.1,Cukup,"tambahkan pupuk dikit, tambahkan air"
1176,661,1348,5.17,71.92,34.9,6.76,218.31,3821.99,Cukup,"tambahkan pupuk dikit, cukup air"
1338,1948,1902,7.28,54.97,44.42,4.69,187.85,4653.2,Cukup,"tambahkan pupuk dikit, cukup air"
200,1372,1048,7.88,71.71,33.8,6.07,450.03,4492.47,Cukup,"tambahkan pupuk banyak, cukup air"
752,1754,652,7.04,45.02,41.45,0.99,97.23,738.5,Cukup,"tambahkan pupuk sedang, tambahkan air"
681,668,744,7.98,44.75,24.87,8.85,672.16,4914.15,Cukup,"tambahkan pupuk sedang, tambahkan air"
799,1305,165,6.78,48.03,27.21,5.46,123.62,3429.87,Cukup,"tambahkan pupuk sedang, tambahkan air"
962,1899,1520,5.26,61.77,42.19,0.45,105.13,2654.4,Cukup,"tambahkan pupuk dikit, cukup air"
534,205,1333,5.21,55.46,37.71,9.2,510.93,3456.36,Cukup,"tambahkan pupuk sedang, cukup air"
664,290,1597,5.64,71.64,44.44,4.92,959.9,3868.48,Cukup,"tambahkan pupuk sedang, cukup air"
1364,1260,764,4.52,31.14,38.24,8.69,455.46,1322.28,Cukup,"tambahkan pupuk dikit, tambahkan air"
782,799,783,6.89,61.87,28.46,8.58,388.66,2795.78,Cukup,"tambahkan pupuk sedang, cukup air"
336,1243,1009,5.44,44.86,30.93,8.17,998.06,2345.72,Cukup,"tambahkan pupuk banyak, tambahkan air"
1203,1877,936,7.35,38.11,42.02,0.66,555.37,2427.25,Cukup,"tambahkan pupuk dikit, tambahkan air"
1149,930,670,5.76,52.97,31.55,2.51,406.48,1002.34,Cukup,"tambahkan pupuk dikit, cukup air"
886,171,795,6.18,52.73,22.66,8.76,416.57,1379.14,Cukup,"tambahkan pupuk sedang, cukup air"
366,854,1613,7.88,36.17,28.07,8.99,235.21,1390.08,Cukup,"tambahkan pupuk banyak, tambahkan air"
1566,1254,279,5.35,39.09,30.49,4.61,536.61,2552.74,Cukup,"tambahkan pupuk dikit, tambahkan air"
1109,556,933,7.02,48.37,17.9,4.43,466.91,5419.7,Cukup,"tambahkan pupuk dikit, tambahkan air"
1079,1904,1959,7.14,48.4,37.31,1.79,307.26,1633.15,Cukup,"tambahkan pupuk dikit, tambahkan air"
1041,1004,1647,5.27,44.29,18.28,9.69,202.51,2789.06,Cukup,"tambahkan pupuk dikit, tambahkan air"
264,578,1582,6.25,36.68,27.15,2.17,345.68,2213.85,Cukup,"tambahkan pupuk banyak, tambahkan air"
1290,151,1191,5.73,30.2,39.14,1.95,533.25,4830.61,Cukup,"tambahkan pupuk dikit, tambahkan air"
632,1103,1452,7.2,73.66,29.03,6.62,105.42,775.7,Cukup,"tambahkan pupuk sedang, cukup air"
1273,673,301,6.68,72.46,40.26,2.47,196.06,1580.99,Cukup,"tambahkan pupuk dikit, cukup air"
1537,1242,1598,6.17,51.76,25.26,9.39,950.27,1658.53,Cukup,"tambahkan pupuk dikit, cukup air"
1532,2000,1641,7.23,74.78,43.73,0.16,565.71,5961.3,Cukup,"tambahkan pupuk dikit, cukup air"
314,1387,1138,5.32,60.31,21.28,0.11,110.28,3639.26,Cukup,"tambahkan pupuk banyak, cukup air"
768,1362,1165,7.14,33.1,16.15,5.07,708.43,1264.27,Cukup,"tambahkan pupuk sedang, tambahkan air"
1565,1474,642,7.53,35.3,41.17,4.91,108.71,1997.1,Cukup,"tambahkan pupuk dikit, tambahkan air"
841,992,1081,7.58,71.22,37.57,1.68,751.93,1423.02,Cukup,"tambahkan pupuk sedang, cukup air"
694,354,1816,7.24,58.35,21.96,4.97,762.46,1185.33,Cukup,"tambahkan pupuk sedang, cukup air"
1492,784,873,5.93,67.94,44.54,4.15,668.53,4884.5,Cukup,"tambahkan pupuk dikit, cukup air"
1140,1432,1412,7.94,70.42,30.07,8.91,745.59,3226.64,Cukup,"tambahkan pupuk dikit, cukup air"
1303,1872,1656,5.83,50.16,43.53,0.14,133.57,3971.66,Cukup,"tambahkan pupuk dikit, cukup air"
1522,1954,793,6.74,32.18,30.15,9.76,740.44,2321.88,Cukup,"tambahkan pupuk dikit, tambahkan air"
1167,1730,1819,5.06,38.47,29.16,6.26,179.85,3545.32,Cukup,"tambahkan pupuk dikit, tambahkan air"
1021,1972,1367,7.93,33.0,28.47,1.56,372.53,1916.63,Cukup,"tambahkan pupuk dikit, tambahkan air"
401,1618,1985,6.96,38.49,25.05,0.52,945.61,2194.2,Cukup,"tambahkan pupuk banyak, tambahkan air"
848,156,1784,7.14,48.47,31.01,5.4,527.73,4087.31,Cukup,"tambahkan pupuk sedang, tambahkan air"
759,1049,1891,4.73,35.32,28.58,2.39,969.06,1326.93,Cukup,"tambahkan pupuk sedang, tambahkan air"
1241,1526,711,7.17,37.5,16.1,3.05,134.48,3894.72,Cukup,"tambahkan pupuk dikit, tambahkan air"
677,1190,1690,7.21,50.06,22.81,2.49,503.68,5187.29,Cukup,"tambahkan pupuk sedang, cukup air"
687,1169,1821,6.85,45.31,21.39,6.52,109.28,1162.33,Cukup,"tambahkan pupuk sedang, tambahkan air"
1182,705,1955,5.52,51.04,41.02,5.56,648.7,5436.04,Cukup,"tambahkan pupuk dikit, cukup air"
978,1773,1721,6.21,49.31,32.97,0.83,124.77,936.95,Cukup,"tambahkan pupuk dikit, tambahkan air"
539,468,1297,4.89,59.0,37.91,5.29,216.6,2419.0,Cukup,"tambahkan pupuk sedang, cukup air"
811,1728,1657,6.15,72.17,43.7,7.92,295.89,3857.8,Cukup,"tambahkan pupuk sedang, cukup air"
315,331,1632,5.35,34.85,34.32,0.86,761.31,3576.78,Cukup,"tambahkan pupuk banyak, tambahkan air"
273,1525,343,5.72,34.47,44.48,8.9,205.76,1030.15,Cukup,"tambahkan pupuk banyak, tambahkan air"
1492,1007,159,5.07,68.38,24.35,5.8,854.3,4894.02,Cukup,"tambahkan pupuk dikit, cukup air"
315,1684,203,5.31,52.79,20.59,9.51,175.31,5852.34,Cukup,"tambahkan pupuk banyak, cukup air"
1387,1146,750,4.77,64.49,27.1,1.52,83.48,1496.76,Cukup,"tambahkan pupuk dikit, cukup air"
1445,673,1426,7.72,39.69,29.12,9.94,425.29,5423.22,Cukup,"tambahkan pupuk dikit, tambahkan air"
325,1390,1794,6.36,67.3,41.86,6.46,980.47,3562.45,Cukup,"tambahkan pupuk banyak, cukup air"
856,940,1110,5.89,71.57,31.8,5.7,154.83,5647.64,Cukup,"tambahkan pupuk sedang, cukup air"
1399,217,1867,6.37,58.6,23.77,5.18,146.63,1468.47,Cukup,"tambahkan pupuk dikit, cukup air"
863,1723,176,6.7,34.76,37.28,0.29,763.61,4856.12,Cukup,"tambahkan pupuk sedang, tambahkan air"
1598,1724,1141,7.73,70.29,30.17,9.4,346.55,828.8,Cukup,"tambahkan pupuk dikit, cukup air"
1190,1178,1657,5.13,65.66,19.86,6.46,731.42,5357.58,Cukup,"tambahkan pupuk dikit, cukup air"
1217,1276,1307,5.53,63.79,32.3,0.96,240.01,4207.88,Cukup,"tambahkan pupuk dikit, cukup air"
1058,1362,1780,7.92,31.65,42.34,0.26,487.07,2536.4,Cukup,"tambahkan pupuk dikit, tambahkan air"
284,1388,1673,5.8,65.95,40.28,0.56,302.03,1547.57,Cukup,"tambahkan pupuk banyak, cukup air"
832,367,1404,4.58,36.21,32.6,6.11,478.95,4990.93,Cukup,"tambahkan pupuk sedang, tambahkan air"
650,212,1411,5.02,40.01,26.31,6.16,780.64,3817.83,Cukup,"tambahkan pupuk sedang, tambahkan air"
717,265,1778,4.59,55.97,17.61,5.02,773.91,2482.29,Cukup,"tambahkan pupuk sedang, cukup air"
1045,767,1648,7.96,41.92,29.09,3.1,539.98,2941.1,Cukup,"tambahkan pupuk dikit, tambahkan air"
894,1131,797,5.48,59.76,37.56,5.34,931.95,5045.98,Cukup,"tambahkan pupuk dikit, cukup air"
749,813,1597,7.73,57.36,25.81,5.19,300.59,2364.1,Cukup,"tambahkan pupuk sedang, cukup air"
1128,1340,1045,7.99,34.87,22.06,0.24,278.3,992.98,Cukup,"tambahkan pupuk dikit, tambahkan air"
315,530,366,6.6,59.52,42.94,2.86,633.12,5512.05,Cukup,"tambahkan pupuk banyak, cukup air"
1231,1415,880,4.62,71.58,39.65,0.58,640.23,2630.39,Cukup,"tambahkan pupuk dikit, cukup air"
1441,992,708,4.79,37.25,34.15,9.01,94.21,2416.13,Cukup,"tambahkan pupuk dikit, tambahkan air"
603,1173,1045,6.19,56.87,19.1,7.27,627.39,1624.2,Cukup,"tambahkan pupuk sedang, cukup air"
503,206,1480,5.92,45.38,19.35,9.96,405.71,5435.82,Cukup,"tambahkan pupuk sedang, tambahkan air"
939,1132,1929,6.62,50.68,18.1,3.06,760.07,1696.28,Cukup,"tambahkan pupuk dikit, cukup air"
287,844,1124,6.04,42.92,33.49,8.79,817.7,4001.7,Cukup,"tambahkan pupuk banyak, tambahkan air"
1233,799,1930,7.77,45.94,18.47,6.05,574.55,5344.21,Cukup,"tambahkan pupuk dikit, tambahkan air"
507,1579,1150,6.37,31.3,40.28,4.56,51.62,692.02,Cukup,"tambahkan pupuk sedang, tambahkan air"
633,422,647,6.93,74.17,44.79,2.26,654.55,5058.35,Cukup,"tambahkan pupuk sedang, cukup air"
1001,408,259,7.64,58.12,25.99,7.4,761.44,2758.3,Cukup,"tambahkan pupuk dikit, cukup air"
363,949,1036,5.01,52.53,28.61,9.05,286.53,4118.86,Cukup,"tambahkan pupuk banyak, cukup air"
1462,721,498,5.3,47.27,36.35,2.39,491.41,2548.23,Cukup,"tambahkan pupuk dikit, tambahkan air"
1540,1094,642,4.88,54.27,43.11,1.8,967.44,4325.34,Cukup,"tambahkan pupuk dikit, cukup air"
1195,244,226,4.99,47.1,41.82,6.98,333.21,1898.62,Cukup,"tambahkan pupuk dikit, tambahkan air"
855,839,1897,6.29,46.2,16.73,9.77,262.0,620.62,Cukup,"tambahkan pupuk sedang, tambahkan air"
1558,920,1980,5.62,50.88,20.07,7.51,250.31,5712.83,Cukup,"tambahkan pupuk dikit, cukup air"
217,511,1108,5.98,42.42,37.64,2.88,580.86,590.02,Cukup,"tambahkan pupuk banyak, tambahkan air"
1294,213,1047,7.94,38.1,35.67,4.23,952.3,5032.55,Cukup,"tambahkan pupuk dikit, tambahkan air"
1398,674,309,5.05,55.05,19.0,3.87,628.26,1430.26,Cukup,"tambahkan pupuk dikit, cukup air"
1010,498,249,6.39,67.92,30.06,8.53,338.16,2657.21,Cukup,"tambahkan pupuk dikit, cukup air"
538,1398,130,4.85,36.88,38.42,7.73,656.64,5023.71,Cukup,"tambahkan pupuk sedang, tambahkan air"
447,223,711,5.61,31.47,21.56,5.91,643.6,1632.63,Cukup,"tambahkan pupuk banyak, tambahkan air"
1416,185,1964,6.35,41.11,41.14,2.79,617.08,5261.39,Cukup,"tambahkan pupuk dikit, tambahkan air"
1548,1705,401,7.81,74.09,16.59,9.38,201.45,3237.67,Cukup,"tambahkan pupuk dikit, cukup air"
505,146,1062,5.87,67.29,38.47,6.55,652.84,2513.84,Cukup,"tambahkan pupuk sedang, cukup air"
403,1834,964,4.73,56.81,33.47,9.71,458.66,4143.41,Cukup,"tambahkan pupuk banyak, cukup air"
1052,1999,1854,5.86,71.82,24.46,5.82,67.66,2377.64,Cukup,"tambahkan pupuk dikit, cukup air"
1346,1043,864,5.01,50.04,36.63,8.22,562.78,2410.09,Cukup,"tambahkan pupuk dikit, cukup air"
646,1324,782,5.3,74.25,38.47,8.14,989.8,4534.4,Cukup,"tambahkan pupuk sedang, cukup air"
912,1399,356,6.66,43.33,43.02,3.41,382.25,2204.08,Cukup,"tambahkan pupuk dikit, tambahkan air"
632,1672,1039,4.74,40.81,26.03,9.64,967.28,1604.25,Cukup,"tambahkan pupuk sedang, tambahkan air"
1351,1838,1180,6.13,58.71,35.58,0.27,141.4,4942.05,Cukup,"tambahkan pupuk dikit, cukup air"
1021,1253,108,6.63,47.02,33.08,7.7,745.83,4929.54,Cukup,"tambahkan pupuk dikit, tambahkan air"
1270,1571,1128,5.98,58.19,30.76,9.66,158.61,3236.72,Cukup,"tambahkan pupuk dikit, cukup air"
704,903,946,4.57,43.72,41.71,3.42,309.89,3396.61,Cukup,"tambahkan pupuk sedang, tambahkan air"
314,488,1237,7.95,57.81,15.1,6.5,592.3,4328.42,Cukup,"tambahkan pupuk banyak, cukup air"
1194,675,876,5.78,42.41,23.46,5.64,613.14,3301.01,Cukup,"tambahkan pupuk dikit, tambahkan air"
422,1386,784,7.23,32.29,31.15,7.63,786.45,2793.72,Cukup,"tambahkan pupuk banyak, tambahkan air"
835,731,831,5.64,71.05,20.35,8.67,634.55,5971.92,Cukup,"tambahkan pupuk sedang, cukup air"
871,1401,1328,6.16,69.74,42.24,6.05,613.93,1312.02,Cukup,"tambahkan pupuk sedang, cukup air"
1157,813,123,5.86,73.69,34.43,8.17,916.74,3760.0,Cukup,"tambahkan pupuk dikit, cukup air"
1132,1169,592,5.7,62.24,29.34,3.16,479.55,5372.25,Cukup,"tambahkan pupuk dikit, cukup air"
295,1291,1069,4.58,60.72,39.44,2.32,264.0,4279.68,Cukup,"tambahkan pupuk banyak, cukup air"
306,1568,1805,5.76,55.16,28.53,4.34,203.7,5345.08,Cukup,"tambahkan pupuk banyak, cukup air"
831,721,1529,7.61,35.67,31.76,6.79,429.99,2349.84,Cukup,"tambahkan pupuk sedang, tambahkan air"
897,145,202,6.92,38.52,15.08,1.91,727.12,1995.96,Cukup,"tambahkan pupuk dikit, tambahkan air"
231,823,1183,5.01,43.03,25.97,6.82,90.42,5182.0,Cukup,"tambahkan pupuk banyak, tambahkan air"
265,639,1209,6.57,70.06,19.16,3.97,172.6,2667.63,Cukup,"tambahkan pupuk banyak, cukup air"
1402,186,866,7.62,37.78,35.69,7.97,150.81,4403.25,Cukup,"tambahkan pupuk dikit, tambahkan air"
978,902,1122,6.95,71.53,29.37,0.42,605.99,1312.62,Cukup,"tambahkan pupuk dikit, cukup air"
1115,1508,1800,5.02,53.53,24.05,6.7,280.72,4657.11,Cukup,"tambahkan pupuk dikit, cukup air"
748,1792,471,7.54,62.2,29.03,6.52,207.95,3519.4,Cukup,"tambahkan pupuk sedang, cukup air"
400,364,778,5.56,34.96,21.29,9.41,613.13,1977.36,Cukup,"tambahkan pupuk banyak, tambahkan air"
248,1900,695,6.09,42.11,42.75,7.15,773.24,3219.77,Cukup,"tambahkan pupuk banyak, tambahkan air"
986,1145,301,6.34,73.13,16.62,7.97,365.55,4333.19,Cukup,"tambahkan pupuk dikit, cukup air"
1150,1891,1725,7.48,41.98,40.96,9.05,599.29,565.38,Cukup,"tambahkan pupuk dikit, tambahkan air"
462,802,188,7.76,43.34,30.34,6.77,143.22,4006.07,Cukup,"tambahkan pupuk banyak, tambahkan air"
1356,1573,536,7.75,38.89,33.57,2.94,938.43,3478.75,Cukup,"tambahkan pupuk dikit, tambahkan air"
543,331,219,4.53,35.81,24.08,8.7,370.05,1711.57,Cukup,"tambahkan pupuk sedang, tambahkan air"
1399,285,255,7.73,40.5,44.0,7.49,997.63,4641.4,Cukup,"tambahkan pupuk dikit, tambahkan air"
210,425,498,4.69,58.9,23.46,4.27,979.66,2169.04,Cukup,"tambahkan pupuk banyak, cukup air"
400,1306,1823,5.43,50.49,32.67,7.12,789.88,2022.74,Cukup,"tambahkan pupuk banyak, cukup air"
1144,496,287,6.3,54.92,44.8,8.68,69.06,3091.7,Cukup,"tambahkan pupuk dikit, cukup air"
1125,1604,1897,6.18,35.51,41.43,9.76,566.3,4218.82,Cukup,"tambahkan pupuk dikit, tambahkan air"
202,1526,1175,6.62,66.1,31.09,9.53,132.49,5608.65,Cukup,"tambahkan pupuk banyak, cukup air"
1437,1586,751,6.18,65.28,44.71,3.29,900.38,1277.46,Cukup,"tambahkan pupuk dikit, cukup air"
1007,1540,1654,7.77,30.97,36.04,4.25,800.15,2680.57,Cukup,"tambahkan pupuk dikit, tambahkan air"
1530,1325,1603,5.34,47.26,21.26,1.14,973.72,868.44,Cukup,"tambahkan pupuk dikit, tambahkan air"
759,1188,686,5.46,33.09,27.17,2.51,627.96,4672.03,Cukup,"tambahkan pupuk sedang, tambahkan air"
1550,1055,329,7.72,65.64,25.03,8.83,546.06,2962.53,Cukup,"tambahkan pupuk dikit, cukup air"
398,654,1604,4.77,63.18,25.32,3.64,543.03,4388.11,Cukup,"tambahkan pupuk banyak, cukup air"
308,832,1253,6.63,70.59,37.81,6.22,417.13,2272.07,Cukup,"tambahkan pupuk banyak, cukup air"
1514,1140,154,6.89,40.64,32.53,6.68,495.26,5143.74,Cukup,"tambahkan pupuk dikit, tambahkan air"
307,1959,370,6.27,50.53,16.14,7.83,653.64,3441.55,Cukup,"tambahkan pupuk banyak, cukup air"
751,896,1223,6.93,38.3,41.32,1.87,936.3,5689.84,Cukup,"tambahkan pupuk sedang, tambahkan air"
1172,1306,1192,5.1,46.71,23.9,3.08,616.09,933.48,Cukup,"tambahkan pupuk dikit, tambahkan air"
251,490,1422,7.48,53.5,44.91,4.51,864.26,3328.52,Cukup,"tambahkan pupuk banyak, cukup air"
311,143,1069,4.99,32.4,43.63,3.68,869.64,4715.5,Cukup,"tambahkan pupuk banyak, tambahkan air"
494,1000,1652,5.9,62.17,43.22,9.83,542.89,3800.84,Cukup,"tambahkan pupuk banyak, cukup air"
1412,1823,1477,4.76,54.45,39.33,8.36,380.1,627.57,Cukup,"tambahkan pupuk dikit, cukup air"
264,581,1751,6.41,67.3,21.62,4.82,657.6,5847.86,Cukup,"tambahkan pupuk banyak, cukup air"
773,1386,1275,6.84,42.23,30.98,8.8,473.58,2140.45,Cukup,"tambahkan pupuk sedang, tambahkan air"
664,1297,429,7.79,70.65,21.73,3.51,127.37,1871.03,Cukup,"tambahkan pupuk sedang, cukup air"
457,1564,215,7.09,74.94,22.79,7.87,408.92,3171.13,Cukup,"tambahkan pupuk banyak, cukup air"
1203,665,1665,6.39,71.37,33.33,2.28,994.37,3481.87,Cukup,"tambahkan pupuk dikit, cukup air"
833,319,422,7.76,65.01,16.23,7.73,96.09,4714.58,Cukup,"tambahkan pupuk sedang, cukup air"
1554,1681,662,6.17,66.56,44.08,4.59,711.83,2663.01,Cukup,"tambahkan pupuk dikit, cukup air"
409,1517,1695,6.46,55.82,42.56,1.12,849.13,2919.78,Cukup,"tambahkan pupuk banyak, cukup air"
288,871,328,6.59,38.56,26.42,2.77,666.29,3442.28,Cukup,"tambahkan pupuk banyak, tambahkan air"
227,1318,1894,5.93,60.47,30.46,4.05,591.26,2669.13,Cukup,"tambahkan pupuk banyak, cukup air"
437,508,459,7.43,62.07,28.98,7.51,722.18,5530.01,Cukup,"tambahkan pupuk banyak, cukup air"
535,570,1128,5.15,74.34,41.47,0.78,457.88,5181.89,Cukup,"tambahkan pupuk sedang, cukup air"
262,1470,127,6.44,54.36,35.66,6.61,136.79,3002.36,Cukup,"tambahkan pupuk banyak, cukup air"
699,1585,1889,7.03,42.21,23.34,7.17,964.25,501.07,Cukup,"tambahkan pupuk sedang, tambahkan air"
990,1184,1487,7.66,60.77,28.41,6.56,460.69,5455.14,Cukup,"tambahkan pupuk dikit, cukup air"
791,265,1585,7.59,74.07,27.87,7.62,682.12,1183.85,Cukup,"tambahkan pupuk sedang, cukup air"
1274,771,1354,6.28,37.97,43.78,1.82,554.74,1844.82,Cukup,"tambahkan pupuk dikit, tambahkan air"
1335,1274,1518,6.75,44.67,20.26,5.89,101.94,1337.99,Cukup,"tambahkan pupuk dikit, tambahkan air"
500,210,968,5.88,54.38,17.69,9.41,955.11,1488.99,Cukup,"tambahkan pupuk sedang, cukup air"
1313,1611,1835,6.14,37.66,41.42,6.13,802.91,4915.83,Cukup,"tambahkan pupuk dikit, tambahkan air"
428,648,1967,7.67,31.0,41.9,6.13,191.64,3687.26,Cukup,"tambahkan pupuk banyak, tambahkan air"
349,1126,1394,7.76,45.16,41.15,7.38,982.57,5758.52,Cukup,"tambahkan pupuk banyak, tambahkan air"
1361,1606,1974,7.63,68.94,30.33,3.37,750.06,1772.99,Cukup,"tambahkan pupuk dikit, cukup air"
1358,1136,1427,4.98,31.96,34.79,7.02,498.71,3170.99,Cukup,"tambahkan pupuk dikit, tambahkan air"
726,1285,1506,7.48,49.3,31.9,9.17,630.8,5875.86,Cukup,"tambahkan pupuk sedang, tambahkan air"
532,443,1681,7.82,64.3,17.08,0.16,151.4,5045.44,Cukup,"tambahkan pupuk sedang, cukup air"
1585,1572,127,5.76,72.89,32.88,8.71,582.39,4507.39,Cukup,"tambahkan pupuk dikit, cukup air"
373,431,1642,6.32,74.35,15.41,2.23,119.98,1539.36,Cukup,"tambahkan pupuk banyak, cukup air"
1436,363,843,7.23,48.99,24.75,4.59,567.61,4731.73,Cukup,"tambahkan pupuk dikit, tambahkan air"
1566,182,1322,6.47,72.77,42.97,8.53,575.06,2411.61,Cukup,"tambahkan pupuk dikit, cukup air"
260,876,1729,7.98,31.59,24.12,8.25,880.72,3417.95,Cukup,"tambahkan pupuk banyak, tambahkan air"
1284,1023,1205,6.09,63.57,43.19,8.92,738.8,3850.39,Cukup,"tambahkan pupuk dikit, cukup air"
1018,433,1211,7.0,58.92,22.5,9.41,287.07,3851.5,Cukup,"tambahkan pupuk dikit, cukup air"
723,1503,1513,7.27,41.23,24.44,4.5,894.0,4495.88,Cukup,"tambahkan pupuk sedang, tambahkan air"
415,1342,1821,6.23,52.83,33.85,6.58,594.58,4139.36,Cukup,"tambahkan pupuk banyak, cukup air"
823,757,1878,7.5,35.83,37.85,3.94,626.06,876.04,Cukup,"tambahkan pupuk sedang, tambahkan air"
